Year,Month,Furniture Category,Order Quantity,Moving Average,Year-Month
2022,8,Desk,43,32.0,2022-08
2022,9,Table,13,26.666666666666668,2022-09
2022,9,Chair,31,29.0,2022-09
2022,9,Sofa,2,15.333333333333334,2022-09
2022,9,Cabinet,28,20.333333333333332,2022-09
2022,9,Bed,7,12.333333333333334,2022-09
2022,9,Desk,14,16.333333333333332,2022-09
2022,10,Table,36,19.0,2022-10
2022,10,Chair,39,29.666666666666668,2022-10
2022,10,Sofa,43,39.333333333333336,2022-10
2022,10,Cabinet,18,33.333333333333336,2022-10
2022,10,Bed,22,27.666666666666668,2022-10
2022,10,Desk,11,17.0,2022-10
2022,11,Table,30,21.0,2022-11
2022,11,Chair,17,19.333333333333332,2022-11
2022,11,Sofa,8,18.333333333333332,2022-11
2022,11,Cabinet,50,25.0,2022-11
2022,11,Bed,5,21.0,2022-11
2022,11,Desk,28,27.666666666666668,2022-11
2022,12,Table,1,11.333333333333334,2022-12
2022,12,Chair,31,20.0,2022-12
2022,12,Sofa,26,19.333333333333332,2022-12
2022,12,Cabinet,48,35.0,2022-12
2022,12,Bed,39,37.666666666666664,2022-12
2022,12,Desk,6,31.0,2022-12
2023,1,Table,49,31.333333333333332,2023-01
2023,1,Chair,23,26.0,2023-01
2023,1,Sofa,47,39.666666666666664,2023-01
2023,1,Cabinet,38,36.0,2023-01
2023,1,Bed,9,31.333333333333332,2023-01
2023,1,Desk,23,23.333333333333332,2023-01
2023,2,Table,10,14.0,2023-02
2023,2,Chair,14,15.666666666666666,2023-02
2023,2,Sofa,32,18.666666666666668,2023-02
2023,2,Cabinet,49,31.666666666666668,2023-02
2023,2,Bed,20,33.666666666666664,2023-02
2023,2,Desk,2,23.666666666666668,2023-02
2023,3,Table,6,9.333333333333334,2023-03
2023,3,Chair,28,12.0,2023-03
2023,3,Sofa,43,25.666666666666668,2023-03
2023,3,Cabinet,21,30.666666666666668,2023-03
2023,3,Bed,20,28.0,2023-03
2023,3,Desk,31,24.0,2023-03
2023,4,Table,33,28.0,2023-04
2023,4,Chair,1,21.666666666666668,2023-04
2023,4,Sofa,46,26.666666666666668,2023-04
2023,4,Cabinet,33,26.666666666666668,2023-04
2023,4,Bed,29,36.0,2023-04
2023,4,Desk,23,28.333333333333332,2023-04
2023,5,Table,44,32.0,2023-05
2023,5,Chair,49,38.666666666666664,2023-05
2023,5,Sofa,1,31.333333333333332,2023-05
2023,5,Cabinet,25,25.0,2023-05
2023,5,Bed,11,12.333333333333334,2023-05
2023,5,Desk,3,13.0,2023-05
2023,6,Table,33,15.666666666666666,2023-06
2023,6,Chair,45,27.0,2023-06
2023,6,Sofa,37,38.333333333333336,2023-06
2023,6,Cabinet,2,28.0,2023-06
2023,6,Bed,26,21.666666666666668,2023-06
2023,6,Desk,27,18.333333333333332,2023-06
2023,7,Table,26,26.333333333333332,2023-07
2023,7,Chair,9,20.666666666666668,2023-07
2023,7,Sofa,40,25.0,2023-07
2023,7,Cabinet,42,30.333333333333332,2023-07
2023,7,Bed,43,41.666666666666664,2023-07
2023,7,Desk,7,30.666666666666668,2023-07
2023,8,Table,20,23.333333333333332,2023-08
2023,8,Chair,1,9.333333333333334,2023-08
2023,8,Sofa,43,21.333333333333332,2023-08
2023,8,Cabinet,34,26.0,2023-08
2023,8,Bed,44,40.333333333333336,2023-08
2023,8,Desk,43,40.333333333333336,2023-08
2023,9,Table,29,38.666666666666664,2023-09
2023,9,Chair,29,33.666666666666664,2023-09
2023,9,Sofa,1,19.666666666666668,2023-09
2023,9,Cabinet,6,12.0,2023-09
2023,9,Bed,10,5.666666666666667,2023-09
2023,9,Desk,31,15.666666666666666,2023-09
2023,10,Table,8,16.333333333333332,2023-10
2023,10,Chair,44,27.666666666666668,2023-10
2023,10,Sofa,13,21.666666666666668,2023-10
2023,10,Cabinet,38,31.666666666666668,2023-10
2023,10,Bed,16,22.333333333333332,2023-10
2023,10,Desk,35,29.666666666666668,2023-10
2023,11,Table,19,23.333333333333332,2023-11
2023,11,Chair,2,18.666666666666668,2023-11
2023,11,Sofa,34,18.333333333333332,2023-11
2023,11,Cabinet,4,13.333333333333334,2023-11
2023,11,Bed,24,20.666666666666668,2023-11
2023,11,Desk,31,19.666666666666668,2023-11
2023,12,Table,4,19.666666666666668,2023-12
2023,12,Chair,4,13.0,2023-12
2023,12,Sofa,2,3.3333333333333335,2023-12
2023,12,Cabinet,26,10.666666666666666,2023-12
2023,12,Bed,36,21.333333333333332,2023-12
2023,12,Desk,22,28.0,2023-12
