Year,Month,Furniture Category,Order Quantity
2023,3,Chair,2
2023,3,Sofa,31
2023,3,Cabinet,17
2023,3,Bed,34
2023,3,Desk,48
2023,4,Table,6
2023,4,Chair,36
2023,4,Sofa,49
2023,4,Cabinet,50
2023,4,Bed,42
2023,4,Desk,1
2023,5,Table,50
2023,5,Chair,20
2023,5,Sofa,28
2023,5,Cabinet,25
2023,5,Bed,43
2023,5,Desk,29
2023,6,Table,46
2023,6,Chair,11
2023,6,Sofa,16
2023,6,Cabinet,47
2023,6,Bed,12
2023,6,Desk,11
2023,7,Table,11
2023,7,Chair,37
2023,7,Sofa,31
2023,7,Cabinet,21
2023,7,Bed,16
2023,7,Desk,17
2023,8,Table,40
2023,8,Chair,23
2023,8,Sofa,26
2023,8,Cabinet,25
2023,8,Bed,36
2023,8,Desk,17
2023,9,Table,29
2023,9,Chair,31
2023,9,Sofa,18
2023,9,Cabinet,39
2023,9,Bed,32
2023,9,Desk,25
2023,10,Table,6
2023,10,Chair,40
2023,10,Sofa,23
2023,10,Cabinet,24
2023,10,Bed,18
2023,10,Desk,6
2023,11,Table,43
2023,11,Chair,42
2023,11,Sofa,42
2023,11,Cabinet,41
2023,11,Bed,21
2023,11,Desk,41
2023,12,Table,30
2023,12,Chair,49
2023,12,Sofa,19
2023,12,Cabinet,36
2023,12,Bed,34
2023,12,Desk,7
